地址ID,地址类型,楼层,架号,框号,包号
511,3,4,车间对上四楼,#H4-17,
512,3,4,车间对上四楼,#H6,
513,3,4,车间对上四楼,#H5-1,
514,3,4,车间对上四楼,#H5-2,
515,3,4,车间对上四楼,#H5-3,
516,3,4,车间对上四楼,#H5-4,
517,3,4,车间对上四楼,#H5-5,
518,3,4,车间对上四楼,#H5-6,
519,3,4,车间对上四楼,#H5-7,
520,3,4,车间对上四楼,#H5-8,
521,3,4,车间对上四楼,#H5-9,
522,3,4,车间对上四楼,#H5-10,
523,3,4,车间对上四楼,#H5-11,
524,3,4,车间对上四楼,#H5-12,
525,3,4,车间对上四楼,#H5-13,
526,3,4,车间对上四楼,#H5-14,
527,3,4,车间对上四楼,#H5-15,
528,3,4,车间对上四楼,#H5-16,
529,3,4,车间对上四楼,#H7-1,
530,3,4,车间对上四楼,#H7-2,
531,3,4,车间对上四楼,#H7-3,
532,3,4,车间对上四楼,#H7-4,
533,3,4,车间对上四楼,#H7-5,
534,3,4,车间对上四楼,#H7-6,
535,3,4,车间对上四楼,#H7-7,
536,3,4,车间对上四楼,#H7-8,
537,3,4,车间对上四楼,#H7-9,
538,3,4,车间对上四楼,#H7-10,
539,3,4,车间对上四楼,#H7-11,
540,3,4,车间对上四楼,#H7-12,
541,3,4,车间对上四楼,#H7-13,
542,3,4,车间对上四楼,#H8-1,
543,3,4,车间对上四楼,#H8-2,
544,3,4,车间对上四楼,#H8-3,
545,3,4,车间对上四楼,#H8-4,
546,3,4,车间对上四楼,#H8-5,
547,3,4,车间对上四楼,#H8-6,
548,3,4,车间对上四楼,#H8-7,
549,3,4,车间对上四楼,#H8-8,
550,3,4,车间对上四楼,#H8-9,
551,3,4,车间对上四楼,#H8-10,
552,3,4,车间对上四楼,#H8-11,
553,3,4,车间对上四楼,#H8-12,
554,3,4,车间对上四楼,#H8-13,
555,3,4,车间对上四楼,#H8-14,
556,3,4,车间对上四楼,#H8-15,
557,3,4,车间对上四楼,#H8-16,
558,3,4,车间对上四楼,#H8-17,
559,3,4,车间对上四楼,#H8-18,
560,3,4,车间对上四楼,#H9,
561,3,4,车间对上四楼,#H10-1,
562,3,4,车间对上四楼,#H10-2,
563,3,4,车间对上四楼,#H10-3,
564,3,4,车间对上四楼,#H10-4,
565,3,4,车间对上四楼,#H10-5,
566,3,4,车间对上四楼,#H10-6,
567,3,4,车间对上四楼,#H10-7,
568,3,4,车间对上四楼,#H10-8,
569,3,4,车间对上四楼,#H10-9,
570,3,4,车间对上四楼,#H10-10,
571,3,4,车间对上四楼,#H10-11,
572,3,4,车间对上四楼,#H10-12,
573,3,4,车间对上四楼,#H10-13,
574,3,4,车间对上四楼,#H10-14,
575,3,4,车间对上四楼,#H10-15,
576,3,4,车间对上四楼,#H10-16,
577,3,4,车间对上四楼,#H10-17,
578,3,4,车间对上四楼,#H10-18,
579,3,4,车间对上四楼,#H10-19,
580,3,4,车间对上四楼,#H10-20,
581,3,4,车间对上四楼,#H10-21,
582,3,4,车间对上四楼,#H11-1,
583,3,4,车间对上四楼,#H11-2,
584,3,4,车间对上四楼,#H11-3,
585,3,4,车间对上四楼,#H11-4,
586,3,4,车间对上四楼,#H11-5,
587,3,4,车间对上四楼,#H11-6,
588,3,4,车间对上四楼,#H11-7,
589,3,4,车间对上四楼,#H11-8,
590,3,4,车间对上四楼,#H12-1,
591,3,4,车间对上四楼,#H12-2,
592,3,4,车间对上四楼,#H12-3,
593,3,4,车间对上四楼,#H12-4,
594,3,4,车间对上四楼,#H12-5,
595,3,4,车间对上四楼,#H12-6,
596,3,4,车间对上四楼,#H12-7,
597,3,4,车间对上四楼,#H12-8,
598,3,4,车间对上四楼,#H12-9,
599,3,4,车间对上四楼,#H12-10,
600,3,4,车间对上四楼,#H12-11,
601,3,4,车间对上四楼,H13-1,
602,3,4,车间对上四楼,H13-2,
603,3,4,车间对上四楼,H13-3,
604,3,4,车间对上四楼,H13-4,
605,3,4,车间对上四楼,H13-5,
606,3,4,车间对上四楼,H13-6,
607,3,4,车间对上四楼,H13-7,
608,3,4,车间对上四楼,H13-8,
609,3,4,车间对上四楼,H13-9,
610,3,4,车间对上四楼,H13-10,
611,3,4,车间对上四楼,H13-11,
612,3,4,车间对上四楼,H13-12,
613,3,4,车间对上四楼,H13-13,
614,3,4,车间对上四楼,H13-14,
615,3,4,车间对上四楼,H13-15,
616,3,4,车间对上四楼,H13-16,
617,3,4,车间对上四楼,H14,
618,3,4,车间对上四楼,H15-1,
619,3,4,车间对上四楼,H15-2,
620,3,4,车间对上四楼,H15-3,
621,3,4,车间对上四楼,H15-4,
622,3,4,车间对上四楼,H15-5,
623,3,4,车间对上四楼,H15-6,
624,3,4,车间对上四楼,H15-7,
625,3,4,车间对上四楼,H15-8,
626,3,4,车间对上四楼,H15-9,
627,3,4,车间对上四楼,H15-10,
628,3,4,车间对上四楼,H15-11,
629,3,4,车间对上四楼,H16,
630,3,4,车间对上四楼,H17,
631,3,4,车间对上四楼,H18,
632,3,4,车间对上四楼,H19,
633,3,4,车间对上四楼办公室,H20-1,
634,3,4,车间对上四楼办公室,H20-2,
635,3,4,车间对上四楼办公室,H20-3,
636,3,4,车间对上四楼办公室,H20-4,
637,3,4,车间对上四楼,H20-4,
638,3,4,车间对上四楼办公室,H20-5,
639,3,4,车间对上四楼办公室,H20-6,
640,3,4,车间对上四楼办公室,H20-7,
641,3,4,车间对上四楼办公室,H20-8,
642,3,4,车间对上四楼办公室,H20-9,
643,3,4,车间对上四楼办公室,H20-10,
644,3,4,车间对上四楼办公室,H20-11,
645,3,4,车间对上四楼办公室,H20-12,
646,3,4,车间对上四楼办公室,H20-13,
647,3,4,车间对上四楼办公室,H20-14,
